Date,total_sales,is_Super_Bowl,is_Labor_Day,is_Thanksgiving,is_Christmas,is_Christmas_true_peak
2010-02-05,49750740.50000001,0,0,0,0,0
2010-02-12,48336677.63,1,0,0,0,0
2010-02-19,48276993.78000001,0,0,0,0,0
2010-02-26,43968571.13000001,0,0,0,0,0
2010-03-05,46871470.30000002,0,0,0,0,0
2010-03-12,45925396.51,0,0,0,0,0
2010-03-19,44988974.64000001,0,0,0,0,0
2010-03-26,44133961.049999975,0,0,0,0,0
2010-04-02,50423831.260000005,0,0,0,0,0
2010-04-09,47365290.439999975,0,0,0,0,0
2010-04-16,45183667.08,0,0,0,0,0
2010-04-23,44734452.56,0,0,0,0,0
2010-04-30,43705126.71,0,0,0,0,0
2010-05-07,48503243.52000001,0,0,0,0,0
2010-05-14,45330080.19999999,0,0,0,0,0
2010-05-21,45120108.06000001,0,0,0,0,0
2010-05-28,47757502.56000001,0,0,0,0,0
2010-06-04,50188543.12000002,0,0,0,0,0
2010-06-11,47826546.71999999,0,0,0,0,0
2010-06-18,47622046.23,0,0,0,0,0
2010-06-25,46609036.29000002,0,0,0,0,0
2010-07-02,48917484.50000001,0,0,0,0,0
2010-07-09,47899529.37000005,0,0,0,0,0
2010-07-16,46243899.58,0,0,0,0,0
2010-07-23,44888849.11000002,0,0,0,0,0
2010-07-30,44630363.42000002,0,0,0,0,0
2010-08-06,48204999.120000005,0,0,0,0,0
2010-08-13,46464418.41,0,0,0,0,0
2010-08-20,47060952.92000005,0,0,0,0,0
2010-08-27,45909740.44000001,0,0,0,0,0
2010-09-03,47194257.60999999,0,0,0,0,0
2010-09-10,45634397.83999999,0,1,0,0,0
2010-09-17,43080726.51000001,0,0,0,0,0
2010-09-24,41358514.41,0,0,0,0,0
2010-10-01,42239875.87000002,0,0,0,0,0
2010-10-08,45102974.23000002,0,0,0,0,0
2010-10-15,43149473.45000003,0,0,0,0,0
2010-10-22,43066669.51999999,0,0,0,0,0
2010-10-29,43602830.950000025,0,0,0,0,0
2010-11-05,45781981.88999999,0,0,0,0,0
2010-11-12,46124800.83000001,0,0,0,0,0
2010-11-19,45125584.17999998,0,0,0,0,0
2010-11-26,65821003.24000004,0,0,1,0,0
2010-12-03,49909027.880000025,0,0,0,0,0
2010-12-10,55666770.39000001,0,0,0,0,0
2010-12-17,61820799.85000002,0,0,0,0,0
2010-12-24,80931415.60000002,0,0,0,0,1
2010-12-31,40432518.99999998,0,0,0,1,0
2011-01-07,42775787.77000003,0,0,0,0,0
2011-01-14,40673678.04000004,0,0,0,0,0
2011-01-21,40654648.030000016,0,0,0,0,0
2011-01-28,39599852.98999999,0,0,0,0,0
2011-02-04,46153111.11999999,0,0,0,0,0
2011-02-11,47336192.79000003,1,0,0,0,0
2011-02-18,48716164.11999996,0,0,0,0,0
2011-02-25,44125859.83999997,0,0,0,0,0
2011-03-04,46980603.74000001,0,0,0,0,0
2011-03-11,44627319.400000006,0,0,0,0,0
2011-03-18,44872325.97000001,0,0,0,0,0
2011-03-25,42876199.18000003,0,0,0,0,0
2011-04-01,43458991.189999975,0,0,0,0,0
2011-04-08,45887466.8,0,0,0,0,0
2011-04-15,44973328.13999998,0,0,0,0,0
2011-04-22,48676692.05999998,0,0,0,0,0
2011-04-29,43530032.780000016,0,0,0,0,0
2011-05-06,46861958.28999998,0,0,0,0,0
2011-05-13,45446144.82,0,0,0,0,0
2011-05-20,44046598.00999999,0,0,0,0,0
2011-05-27,45293457.03999995,0,0,0,0,0
2011-06-03,48771994.18000002,0,0,0,0,0
2011-06-10,47669734.65999998,0,0,0,0,0
2011-06-17,47447561.77000003,0,0,0,0,0
2011-06-24,45884094.58000003,0,0,0,0,0
2011-07-01,47578519.500000045,0,0,0,0,0
2011-07-08,47859263.78000001,0,0,0,0,0
2011-07-15,45515929.92,0,0,0,0,0
2011-07-22,45274411.38999999,0,0,0,0,0
2011-07-29,43683274.27999998,0,0,0,0,0
2011-08-05,48015466.970000006,0,0,0,0,0
2011-08-12,46249569.20999997,0,0,0,0,0
2011-08-19,46917347.61999999,0,0,0,0,0
2011-08-26,47416948.45000002,0,0,0,0,0
2011-09-02,45376623.27000003,0,0,0,0,0
2011-09-09,46763227.53,0,1,0,0,0
2011-09-16,43793960.08000001,0,0,0,0,0
2011-09-23,42718096.73000002,0,0,0,0,0
2011-09-30,42195830.81,0,0,0,0,0
2011-10-07,47211688.35999999,0,0,0,0,0
2011-10-14,44374820.3,0,0,0,0,0
2011-10-21,45818953.44000003,0,0,0,0,0
2011-10-28,45855821.05,0,0,0,0,0
2011-11-04,48655544.30000003,0,0,0,0,0
2011-11-11,48474224.750000015,0,0,0,0,0
2011-11-18,46438980.56000002,0,0,0,0,0
2011-11-25,66593605.26000001,0,0,1,0,0
2011-12-02,49390556.49000002,0,0,0,0,0
2011-12-09,55561147.69999999,0,0,0,0,0
2011-12-16,60085695.94000004,0,0,0,0,0
2011-12-23,76998241.31000002,0,0,0,0,1
2011-12-30,46042461.04000001,0,0,0,1,0
2012-01-06,44955421.95000003,0,0,0,0,0
2012-01-13,42023078.48000002,0,0,0,0,0
2012-01-20,42080996.559999965,0,0,0,0,0
2012-01-27,39834974.67000002,0,0,0,0,0
2012-02-03,46085608.09,0,0,0,0,0
2012-02-10,50009407.92000002,1,0,0,0,0
2012-02-17,50197056.96000001,0,0,0,0,0
2012-02-24,45771506.56999999,0,0,0,0,0
2012-03-02,46861034.96999998,0,0,0,0,0
2012-03-09,47480454.110000014,0,0,0,0,0
2012-03-16,46901504.94000002,0,0,0,0,0
2012-03-23,44993794.45000002,0,0,0,0,0
2012-03-30,45272862.02000001,0,0,0,0,0
2012-04-06,53502315.87000001,0,0,0,0,0
2012-04-13,46629261.40999998,0,0,0,0,0
2012-04-20,45072529.780000046,0,0,0,0,0
2012-04-27,43716798.89,0,0,0,0,0
2012-05-04,47124197.93000003,0,0,0,0,0
2012-05-11,46925878.98999998,0,0,0,0,0
2012-05-18,46823939.22000001,0,0,0,0,0
2012-05-25,47892463.30999998,0,0,0,0,0
2012-06-01,48281649.719999984,0,0,0,0,0
2012-06-08,49651171.780000016,0,0,0,0,0
2012-06-15,48412110.7,0,0,0,0,0
2012-06-22,47668284.97,0,0,0,0,0
2012-06-29,46597112.120000005,0,0,0,0,0
2012-07-06,51253021.88000003,0,0,0,0,0
2012-07-13,46099732.1,0,0,0,0,0
2012-07-20,46059543.45000003,0,0,0,0,0
2012-07-27,44097154.97,0,0,0,0,0
2012-08-03,47485899.56000002,0,0,0,0,0
2012-08-10,47403451.04000002,0,0,0,0,0
2012-08-17,47354452.05000001,0,0,0,0,0
2012-08-24,47447323.60000001,0,0,0,0,0
2012-08-31,47159639.43000005,0,0,0,0,0
2012-09-07,48330059.30999999,0,1,0,0,0
2012-09-14,44226038.65000006,0,0,0,0,0
2012-09-21,44354547.10999998,0,0,0,0,0
2012-09-28,43734899.40000005,0,0,0,0,0
2012-10-05,47566639.310000025,0,0,0,0,0
2012-10-12,46128514.25000001,0,0,0,0,0
2012-10-19,45122410.57000001,0,0,0,0,0
2012-10-26,45544116.29,0,0,0,0,0
